,Name,Mathches_played,Goals,Assist,Yellow_cards,Yellow_to_red,Red_cards,Minutes_played
3606,Luis Jiménez,16,2,2,1,0,0,814'
3607,Costinha,24,0,0,7,0,1,1.235'
3608,Asier del Horno,8,0,0,3,0,0,713'
3609,Mido,24,5,3,5,0,0,1.343'
3610,Roberto Ayala,39,3,1,17,0,1,3.473'
3611,Fabio Grosso,35,3,1,1,0,1,2.345'
3612,José Enrique,23,0,0,2,0,0,2.058'
3613,Gökdeniz Karadeniz,46,12,13,3,0,0,3.900'
3614,Javier Saviola,26,12,3,2,0,0,1.236'
3615,Joey Barton,38,7,5,11,0,1,3.411'
3616,Fernando Belluschi,48,6,0,11,0,0,4.096'
3617,Lincoln,27,5,10,5,0,1,2.237'
3618,Thiago Neves,33,12,13,4,0,0,2.646'
3619,Antonio Cassano,12,2,2,3,0,0,600'
3620,Freddie Ljungberg,26,2,0,3,0,0,1.754'
3621,Kieran Richardson,24,3,2,6,0,0,1.202'
3622,Nery Castillo,33,15,9,7,0,1,2.633'
3623,Karim Ziani,44,9,8,8,0,0,3.730'
3624,Boško Janković,33,9,0,5,0,0,1.850'
3625,Rio Mavuba,44,0,1,6,0,0,3.424'
3626,Cléber Santana,20,4,0,2,0,0,1.474'
3627,Ángel Di María,25,6,0,6,0,0,1.698'
3628,Aquivaldo Mosquera,42,5,2,17,1,0,3.716'
3629,Albert Luque,16,2,1,1,0,0,603'
3630,Aleksandr Kerzhakov,27,7,2,3,0,0,1.601'
3631,Frédéric Piquionne,33,10,8,3,1,1,2.551'
3632,Zé Roberto,15,7,0,3,0,0,1.218'
3633,Rio Mavuba,44,0,1,6,0,0,3.424'
3634,Timo Hildebrand,39,0,0,0,0,43,3.540'
3635,Morgan De Sanctis,39,0,2,0,0,52,3.525'
3636,Georgios Samaras,41,6,5,0,0,0,2.051'
3637,Kevin-Prince Boateng,33,4,7,12,0,0,2.271'
3638,Carlos Alberto,5,1,0,2,0,0,444'
3639,Domenico Criscito,39,4,0,9,0,0,3.447'
3640,Michael Chopra,44,22,13,8,2,0,3.851'
3641,Nelson Rivas,14,0,0,4,0,0,1.063'
3642,Leighton Baines,37,3,2,8,0,0,3.297'
3643,Luis Suárez,37,15,7,9,0,0,2.929'
3644,Grafite,38,15,5,6,0,0,2.950'
3645,Mémé Tchité,38,24,9,2,0,0,2.845'
